video_id,title,url,views,duration,publishedAt
7nNoAaeZQoI,The SCARIEST Fact About SPACE #space #spacefacts #universe,https://www.youtube.com/watch?v=7nNoAaeZQoI,16816635,PT44S,2022-09-22T14:00:04Z
lbPZa4XyaCY,The 5 Scariest Space Facts,https://www.youtube.com/watch?v=lbPZa4XyaCY,4052565,PT58S,2023-05-31T13:42:05Z
-4Q8a3Tmbdg,The 5 Scariest Space Facts #space #nasa #universe,https://www.youtube.com/watch?v=-4Q8a3Tmbdg,8681650,PT54S,2022-11-22T14:10:53Z
013vOtdFYFA,The Craziest Space Fact I know,https://www.youtube.com/watch?v=013vOtdFYFA,1753512,PT57S,2025-03-04T11:24:16Z
ti3CzvSvIjg,The Saddest Space Fact I Know,https://www.youtube.com/watch?v=ti3CzvSvIjg,2092585,PT1M11S,2025-06-17T12:19:12Z
KzHnwBSHXhQ,"Scariest, space events that will happen! #Shorts #Space #Earth #Astronomy #Science",https://www.youtube.com/watch?v=KzHnwBSHXhQ,1286306,PT31S,2025-06-11T12:30:32Z
ZNBDAsxQLT8,Upcoming Rare Space Events 2026- 2030 🤯 #astronomy,https://www.youtube.com/watch?v=ZNBDAsxQLT8,936793,PT24S,2025-03-01T18:07:37Z
lzsf1-vMUdY,The Solar System is LARGER than you think,https://www.youtube.com/watch?v=lzsf1-vMUdY,4764687,PT1M,2023-09-29T19:14:33Z
js5Ui8NghbM,3 Facts Of Pluto 😅 w/ Neil deGrasse Tyson,https://www.youtube.com/watch?v=js5Ui8NghbM,8292149,PT35S,2025-01-24T17:41:51Z
ZbKtKg8DMkU,The Luna through my telescope #astronomy #science #shorts,https://www.youtube.com/watch?v=ZbKtKg8DMkU,23977104,PT21S,2023-02-15T20:46:42Z
iyY6INRlGCY,5 Insane Space Events you will miss!,https://www.youtube.com/watch?v=iyY6INRlGCY,4963111,PT1M,2024-02-06T07:06:28Z
6PaLnLxCAmQ,The Strongest Material in the universe? #sciencefacts #facts #science #shorts,https://www.youtube.com/watch?v=6PaLnLxCAmQ,1846059,PT31S,2024-10-05T12:02:21Z
VYVf34MUpAc,2 Trillion Galaxies? The Mind-Boggling Scale of the Universe Explained,https://www.youtube.com/watch?v=VYVf34MUpAc,4838913,PT1M,2023-03-06T18:00:11Z
aQ6dp6H2yjs,😱🚀😱 Top 3 HORRIFYING Things Said by Astronauts #Shorts #Space #Aliens,https://www.youtube.com/watch?v=aQ6dp6H2yjs,9174414,PT49S,2022-10-24T14:00:00Z
p_XFXSlsUQs,5 INCREDIBLE FACTS ABOUT SPACE,https://www.youtube.com/watch?v=p_XFXSlsUQs,4065608,PT34S,2021-06-13T17:00:34Z
GUE5ND3o6Js,A Crazy Astronomical Fact From Neil deGrasse Tyson… 🤯 #startalk #neildegrassetyson,https://www.youtube.com/watch?v=GUE5ND3o6Js,5566003,PT51S,2023-07-25T03:19:06Z
vOy9nGyMB2s,How Big is Our Galaxy - And How Do We Know?,https://www.youtube.com/watch?v=vOy9nGyMB2s,1987322,PT57S,2025-05-25T12:51:15Z
hHYtYGh_QzA,Huge New Discovery About The Universe,https://www.youtube.com/watch?v=hHYtYGh_QzA,9551427,PT1M,2023-07-07T14:59:13Z
GjrSip0BLlQ,Space Facts #1,https://www.youtube.com/watch?v=GjrSip0BLlQ,4680957,PT53S,2022-10-20T16:00:20Z
j3XRizcpGNk,Facts About Planets #planetballs,https://www.youtube.com/watch?v=j3XRizcpGNk,4511075,PT24S,2023-10-09T13:00:39Z
s04iLto2rAM,Strange Object Floating In Space 😧 (not what you think),https://www.youtube.com/watch?v=s04iLto2rAM,23697356,PT37S,2022-11-17T15:30:09Z
rCFlc94Pol4,Strangest Things Found In Space,https://www.youtube.com/watch?v=rCFlc94Pol4,3853864,PT58S,2025-09-24T19:15:02Z
eCj5KgfRRGQ,What will happen if our Earth gets trapped inside a black hole? #space #science #spacefacts,https://www.youtube.com/watch?v=eCj5KgfRRGQ,2804582,PT33S,2024-06-17T12:30:21Z
M9Rzsx2jtgA,Fastest storms on different planets! #Shorts #Space #Planet #Universe #Science,https://www.youtube.com/watch?v=M9Rzsx2jtgA,512274,PT24S,2025-05-29T12:30:33Z
9XC70_hgKmA,This is THE SMALLEST Planet in the Universe 😱 #universe #astronomy #space,https://www.youtube.com/watch?v=9XC70_hgKmA,8557636,PT45S,2025-02-01T01:12:42Z
Y_qx4G025Ug,Brian Cox: Scale of the Universe,https://www.youtube.com/watch?v=Y_qx4G025Ug,5683901,PT38S,2023-04-22T16:00:31Z
PDN3Ln79bhY,Planet Now vs Planet Before 😱😶‍🌫️ #shorts #space #sun #scienceofinfinity,https://www.youtube.com/watch?v=PDN3Ln79bhY,2618694,PT36S,2024-06-06T10:04:32Z
WMCD7QDVc4Q,THIS WAS THE FIRST PLANET IN OUR SOLAR SYSTEM 🌍🪐😱 #shorts,https://www.youtube.com/watch?v=WMCD7QDVc4Q,1267533,PT24S,2023-03-29T11:47:42Z
eYbLMv4Iwvs,What Is 3I/ATLAS REALLY?,https://www.youtube.com/watch?v=eYbLMv4Iwvs,3307506,PT51S,2025-10-09T16:01:35Z
jMOP64TLgAY,New JWST image of gravitationally lensed quasar! #space #science #shorts,https://www.youtube.com/watch?v=jMOP64TLgAY,3507670,PT1M,2024-07-09T21:08:27Z
f2uWskCoCgk,In Space Without a Suit?!  What Happens to You 👩‍🚀 🌌 🚀 #solarsystem #universe #nasa #science,https://www.youtube.com/watch?v=f2uWskCoCgk,2383172,PT46S,2024-09-27T13:45:02Z
