video_id,title,url,views,duration,publishedAt
JFx3piGE7N4,Kitchen Secrets and Cooking Hacks You’ll Love P13! #foodiehacks #foodhacks #shorts,https://www.youtube.com/watch?v=JFx3piGE7N4,4627593,PT1M,2025-02-18T17:00:17Z
9Rw-RycH-_I,Save Money Nutella Hack 🤯💰 #food #lifehack #shorts,https://www.youtube.com/watch?v=9Rw-RycH-_I,57959751,PT20S,2023-10-01T02:14:09Z
6mPpcIUNWDg,Kitchen hacks collection #shortvideo #kitchenhacks #cookinghacks #tipsandtricks #lifehacks #shorts,https://www.youtube.com/watch?v=6mPpcIUNWDg,2508070,PT1M,2024-12-16T14:01:51Z
SMVTVp5eIhY,Leftover Pizza Hack,https://www.youtube.com/watch?v=SMVTVp5eIhY,5092658,PT22S,2025-04-20T16:00:40Z
zPxQjuFoUBc,would you eat this? #shorts,https://www.youtube.com/watch?v=zPxQjuFoUBc,48228432,PT20S,2023-10-30T01:30:20Z
wmCYmYAO8to,5 Kitchen Hacks that You Need to Know,https://www.youtube.com/watch?v=wmCYmYAO8to,1159148,PT28S,2024-08-02T12:01:07Z
Tl3N-jgmoeg,10 Useful Kitchen Hacks Wish You Know #shortvideo #lifehacks #shorts,https://www.youtube.com/watch?v=Tl3N-jgmoeg,303677,PT55S,2025-11-13T14:00:53Z
IRo379QCa7U,Kitchen Secrets and Cooking Hacks You’ll Love P13! #foodiehacks #foodhacks #shorts,https://www.youtube.com/watch?v=IRo379QCa7U,715040,PT1M,2025-02-24T13:00:31Z
YugawDL8G4M,Food HACKS I Learned In Restaurants,https://www.youtube.com/watch?v=YugawDL8G4M,13848939,PT58S,2024-03-21T20:50:00Z
f0sU5iPIsb0,Kitchen hacks #kitchenhacks #lifehacks #cookinghacks #cookingtips #tipsandtricks #tips #shorts,https://www.youtube.com/watch?v=f0sU5iPIsb0,2632180,PT1M,2024-12-04T14:24:53Z
4wJGLNr_u60,Kitchen hacks #shortvideo #kitchenhacks #lifehacks #cookinghacks #tipsandtricks #shorts,https://www.youtube.com/watch?v=4wJGLNr_u60,3061769,PT1M,2024-12-17T13:56:42Z
0RX4V4M-f1U,Kitchen hack is easy and clean! 🍅,https://www.youtube.com/watch?v=0RX4V4M-f1U,166304740,PT1M,2023-05-28T10:00:00Z
IEUuuA878dw,PART 1 - OF THE MOST AMAZING KITCHEN HACKS #shorts,https://www.youtube.com/watch?v=IEUuuA878dw,31041704,PT1M1S,2024-03-11T19:11:38Z
P8MuW2Thu8g,Kitchen Hacks | creative explained,https://www.youtube.com/watch?v=P8MuW2Thu8g,56763196,PT1M,2024-08-24T07:06:39Z
kOQVy9_d7Ok,Food Hacks Everyone Should Know,https://www.youtube.com/watch?v=kOQVy9_d7Ok,3523825,PT53S,2023-07-06T19:15:01Z
