video_id,title,url,views,duration,publishedAt
j19HFPplMQ0,Knife Skills Progression,https://www.youtube.com/watch?v=j19HFPplMQ0,44862231,PT24S,2025-07-25T16:01:19Z
msEg_9RACVY,INSTANT Knife Skills,https://www.youtube.com/watch?v=msEg_9RACVY,8327270,PT43S,2023-08-01T15:30:12Z
301GZsic7jg,Cooking 101: Culinary School Lessons — Precision Knife Skills 🔪,https://www.youtube.com/watch?v=301GZsic7jg,1292920,PT1M1S,2023-07-24T20:34:26Z
vm7Htm1prbo,Professional Knife Skills 101,https://www.youtube.com/watch?v=vm7Htm1prbo,3047170,PT30S,2021-03-15T21:00:23Z
N_0dlqzSWV0,"Perfect Knife Skills: ""The Claw"" Learn to Cut #shorts #knifeskills #cooking",https://www.youtube.com/watch?v=N_0dlqzSWV0,402999,PT28S,2021-03-30T23:00:04Z
euBlVXJm9Cg,3 Tips to Improve your Knife Skills #cooking #chef,https://www.youtube.com/watch?v=euBlVXJm9Cg,436950,PT56S,2023-12-06T23:00:24Z
9syIoeh5tl8,Secret Tip To Chef's Knives...,https://www.youtube.com/watch?v=9syIoeh5tl8,1012167,PT21S,2025-04-03T16:00:17Z
qU4xddDQLHo,Knife Skills Progression w/ @NickDiGiovanni & @Meals_by_cug,https://www.youtube.com/watch?v=qU4xddDQLHo,303469394,PT20S,2023-04-04T15:47:04Z
IWAAsKQzTqQ,NYC Culinary Student - Knife Skills Practical Exam 1 (Med. Dice) 🥔,https://www.youtube.com/watch?v=IWAAsKQzTqQ,8501939,PT36S,2022-12-14T18:00:10Z
X4X9lOYFoIc,5 Essential Knives Every Cook Needs,https://www.youtube.com/watch?v=X4X9lOYFoIc,3491995,PT46S,2021-12-15T11:00:13Z
Mjd1Bh81dto,what knives do professional chefs use? #shorts,https://www.youtube.com/watch?v=Mjd1Bh81dto,3022550,PT1M,2024-07-28T15:00:27Z
0R6LxlLIYwQ,Get INSTANT Knife Skills,https://www.youtube.com/watch?v=0R6LxlLIYwQ,1001966,PT58S,2024-10-19T17:30:00Z
xgAR9cvxQgo,Mid- Level Knife Skills Everyone Should Learn,https://www.youtube.com/watch?v=xgAR9cvxQgo,3184213,PT1M4S,2025-06-06T18:04:28Z
QZZVy_utPlk,How to Cut Fast with a Knife,https://www.youtube.com/watch?v=QZZVy_utPlk,30620207,PT37S,2025-08-02T11:00:51Z
xzwjRm7Oj2U,WORLDS BEST CHEF KNIFE?!?!,https://www.youtube.com/watch?v=xzwjRm7Oj2U,42448090,PT37S,2025-04-27T01:40:46Z
J60DCvBCAIo,Every Knife a Chef Needs to Own,https://www.youtube.com/watch?v=J60DCvBCAIo,2265370,PT1M14S,2025-04-21T15:01:57Z
8KlpqZ3A5gs,How To Hold a Chef's Knife Safely,https://www.youtube.com/watch?v=8KlpqZ3A5gs,107328,PT28S,2023-02-16T15:00:05Z
gvU0L5vjm8w,Let’s talk about kitchen knives 🔪 #shorts,https://www.youtube.com/watch?v=gvU0L5vjm8w,1374494,PT56S,2023-02-22T10:39:11Z
LjmbI0I71L4,How to Sharpen a Chefs Knife With a Whetstone 🔪 #shorts #chef,https://www.youtube.com/watch?v=LjmbI0I71L4,217178,PT35S,2023-06-23T12:49:22Z
9TGxNVLyq-A,Knife Skills: Proper Posture #Shorts,https://www.youtube.com/watch?v=9TGxNVLyq-A,4121466,PT48S,2023-04-25T19:00:02Z
3eIjflgqkOQ,How to hold a knife correctly,https://www.youtube.com/watch?v=3eIjflgqkOQ,56008,PT22S,2023-09-04T06:00:01Z
7gRJtg-9X2c,Amazing Fruit Cutting Skills - Fruit Master of China!,https://www.youtube.com/watch?v=7gRJtg-9X2c,194878512,PT58S,2025-06-17T03:57:40Z
yxjgjH6VbqA,Dicing an Onion Faster than the Pros! #kitchentips #shorts,https://www.youtube.com/watch?v=yxjgjH6VbqA,2151175,PT58S,2022-10-11T13:15:04Z
FJRC81s9ExI,How to cut REALLY FAST 🔪🥒,https://www.youtube.com/watch?v=FJRC81s9ExI,1103087,PT47S,2025-06-13T15:00:23Z
Q2lFNrXxWOk,Knife Sharpening Basics,https://www.youtube.com/watch?v=Q2lFNrXxWOk,2068323,PT54S,2023-09-26T16:00:17Z
vpwL9y76rOo,How To Pick A Chef Knife,https://www.youtube.com/watch?v=vpwL9y76rOo,2217061,PT20S,2023-01-27T16:00:29Z
vahJGCABK2o,Knife Skills: How To Slice #Shorts,https://www.youtube.com/watch?v=vahJGCABK2o,90840,PT48S,2023-04-11T18:30:46Z
NypZ61RptDI,my top 3 knives. #knives #kitchenknives,https://www.youtube.com/watch?v=NypZ61RptDI,2015954,PT49S,2023-04-30T02:17:02Z
FU-RHi7iN4I,Japanese vs. German Chef Knives,https://www.youtube.com/watch?v=FU-RHi7iN4I,4828239,PT1M1S,2024-04-27T16:00:11Z
