video_id,title,url,views,duration,publishedAt
XhQS06Utv9o,Welcome to coffee brewing 101. ☕ #Shorts,https://www.youtube.com/watch?v=XhQS06Utv9o,186855,PT39S,2023-04-06T16:00:22Z
xvs1BROM2LI,Ultimate French press recipe,https://www.youtube.com/watch?v=xvs1BROM2LI,1704319,PT1M,2023-08-30T06:18:57Z
It-H1xxQxJo,American Aeropress Championship Recipe (2023),https://www.youtube.com/watch?v=It-H1xxQxJo,1212601,PT1M,2023-11-09T13:19:24Z
Pm9Y5_8sSQM,Cold brew at home so you can save money for a new kid. #coffee,https://www.youtube.com/watch?v=Pm9Y5_8sSQM,5469344,PT1M,2024-08-02T16:24:02Z
B6p4XUYRHt0,How to Use a Vietnamese Phin Coffee Filter #coffee,https://www.youtube.com/watch?v=B6p4XUYRHt0,205725,PT35S,2023-08-16T13:16:00Z
fCIGR5QhQOU,How to make cold brew with a coffee press #Starbucks #Shorts,https://www.youtube.com/watch?v=fCIGR5QhQOU,258599,PT28S,2023-06-24T19:04:52Z
iEIwcxXsVS4,How to Use a French Press - 101 Ways to Enjoy Coffee at Home! #coffee,https://www.youtube.com/watch?v=iEIwcxXsVS4,580166,PT38S,2023-06-26T13:17:00Z
c8LtUuzTKAA,Brew the Perfect Cup of Coffee with the V60 Brewing Method #coffee #shorts,https://www.youtube.com/watch?v=c8LtUuzTKAA,391969,PT59S,2023-09-04T10:00:25Z
rCj4hBDpY6Q,How we use the switch to make a very sweet coffee with a great texture!,https://www.youtube.com/watch?v=rCj4hBDpY6Q,401785,PT43S,2023-08-15T19:11:27Z
e108RLHXi6E,The BEST Way to Make Coffee,https://www.youtube.com/watch?v=e108RLHXi6E,1576864,PT35S,2023-03-20T17:00:32Z
iusG5OMaclE,how to make coffee with the aeropress,https://www.youtube.com/watch?v=iusG5OMaclE,587062,PT30S,2025-03-28T18:01:12Z
MWa-WNG3KAM,How to make cold brew with a mason jar,https://www.youtube.com/watch?v=MWa-WNG3KAM,385122,PT29S,2023-06-26T20:27:14Z
29Y78GnTZm8,Filter coffee recipes #shortsyoutube #coffee #minivlog #coffeerecipe,https://www.youtube.com/watch?v=29Y78GnTZm8,1965099,PT1M,2024-07-10T09:22:26Z
ZqRd7Bfz4Zo,Here is the ultimate AeroPress method,https://www.youtube.com/watch?v=ZqRd7Bfz4Zo,159416,PT56S,2025-06-30T06:03:32Z
NShimEnXxNg,How to make good espresso ☕️,https://www.youtube.com/watch?v=NShimEnXxNg,24910345,PT47S,2022-10-19T21:20:51Z
y3Jq2U6Gf_k,3 tips to improve your V60 coffee!,https://www.youtube.com/watch?v=y3Jq2U6Gf_k,261864,PT57S,2022-11-18T22:48:13Z
jzk2YfIRalM,TOP SECRET MOKA POT TIPS ☕️🔥 #mokapot #espresso #barista #coffee,https://www.youtube.com/watch?v=jzk2YfIRalM,1153620,PT59S,2023-03-09T00:11:58Z
KdQ_8n3fK8w,How to Make Amazing Coffee With a French Press #shorts,https://www.youtube.com/watch?v=KdQ_8n3fK8w,202254,PT37S,2022-03-31T20:45:03Z
z5684r_iQYI,The French press gets a lot of hate but It's a great way to brew coffee #coffee #frenchpress,https://www.youtube.com/watch?v=z5684r_iQYI,183518,PT52S,2023-07-29T15:40:23Z
PAEgTv507fs,try this now Best way to drip coffee brewing,https://www.youtube.com/watch?v=PAEgTv507fs,68250,PT30S,2023-02-24T14:46:12Z
PtteAPsOdO8,Coffee Without Automation,https://www.youtube.com/watch?v=PtteAPsOdO8,3309978,PT1M,2024-05-10T18:21:07Z
8OFcPklJ-ZE,Which coffee brewer would you choose? #coffee #espresso,https://www.youtube.com/watch?v=8OFcPklJ-ZE,13504973,PT1M3S,2025-04-28T17:42:57Z
A0J8nntqAPs,V60 Pour Over like a BOSS 😎,https://www.youtube.com/watch?v=A0J8nntqAPs,757652,PT55S,2023-01-28T06:00:03Z
Gst_NYxAg9s,HOW TO MAKE ESPRESSO (Like a Coffee Nerd),https://www.youtube.com/watch?v=Gst_NYxAg9s,3283410,PT1M,2023-07-19T21:46:01Z
JmLOaDZJfpg,How To Make A Latte #coffee,https://www.youtube.com/watch?v=JmLOaDZJfpg,1702142,PT55S,2022-11-01T01:33:51Z
OyRGxRj2H0A,French Press for milk drinkers,https://www.youtube.com/watch?v=OyRGxRj2H0A,575463,PT42S,2023-11-12T08:40:24Z
hd96beQzNDg,How to make good coffee on your Breville,https://www.youtube.com/watch?v=hd96beQzNDg,754712,PT1M9S,2025-01-18T19:05:01Z
CQSMlCJSKso,The magic of the moka pot,https://www.youtube.com/watch?v=CQSMlCJSKso,1730080,PT1M4S,2025-04-07T16:00:13Z
uI3uar2_KQw,How to Make A Perfect Pourover #shorts,https://www.youtube.com/watch?v=uI3uar2_KQw,47884,PT56S,2022-04-05T19:44:53Z
-asqHLetztY,Moka Pot | Learn How To Use It In 30 Seconds!,https://www.youtube.com/watch?v=-asqHLetztY,1248426,PT33S,2021-07-29T19:30:00Z
nvdKrX2rFhk,This is why you have a watery coffee bed. #goldenbrowncoffee #barista #coffee #espresso,https://www.youtube.com/watch?v=nvdKrX2rFhk,1027734,PT32S,2022-06-19T01:32:29Z
gRWvjBl9Oog,Ultimate Bialetti recipe!,https://www.youtube.com/watch?v=gRWvjBl9Oog,3745015,PT59S,2023-07-05T23:11:21Z
xKUjVd_FW40,Making a gallon of cold brew,https://www.youtube.com/watch?v=xKUjVd_FW40,539217,PT29S,2024-09-08T16:10:31Z
yvQyQ5ePdQc,Beginners: start with whole leaves! Red tea is a good choice #tea #beginner #chinese #jessesteahouse,https://www.youtube.com/watch?v=yvQyQ5ePdQc,57431,PT1M1S,2023-02-02T00:19:55Z
gJZDppMH6-o,How British people make a cup of tea,https://www.youtube.com/watch?v=gJZDppMH6-o,1075027,PT23S,2022-09-22T19:29:51Z
RP3EY5Iwee0,My formula for perfect cold brew tea ☀️￼,https://www.youtube.com/watch?v=RP3EY5Iwee0,74770,PT29S,2024-07-15T19:56:06Z
MzIen6fSQwA,making a matcha latte at home 🍵,https://www.youtube.com/watch?v=MzIen6fSQwA,8912498,PT22S,2022-07-12T05:01:10Z
pMm5LPEOeHA,Traditional Chinese tea-processing techniques: Making tea  泡茶流程,https://www.youtube.com/watch?v=pMm5LPEOeHA,100895,PT31S,2022-12-16T13:45:03Z
HO6HJm5kXE4,What happens when you grind green tea and try to make espresso with it? #coffee #espresso,https://www.youtube.com/watch?v=HO6HJm5kXE4,12793474,PT1M1S,2023-08-10T14:14:24Z
