video_id,title,url,views,duration,publishedAt
bZMZ1TcA3_A,SIGMA PHYSICS TEACHER ALBERT EINSTEIN PHYSICS EXPERIMENTS🧪🤯#shortsfeed #shorts #experiment #physics,https://www.youtube.com/watch?v=bZMZ1TcA3_A,39238459,PT20S,2025-06-12T09:35:04Z
-FmaF5KnJ4c,Water defies gravity. But how?! 💧👍 #shorts #DrTatiana #science,https://www.youtube.com/watch?v=-FmaF5KnJ4c,184009596,PT44S,2024-08-01T23:00:00Z
Uwl5Dv3Z6sA,Physics Experiment: Bowling Ball to the Head,https://www.youtube.com/watch?v=Uwl5Dv3Z6sA,49547646,PT43S,2024-05-04T07:15:01Z
w9vSAEYBHrw,Sigma Physics Teacher🗿| Power of Physics😱 #shorts #physics #experiments #sigmarule #alberteinstein,https://www.youtube.com/watch?v=w9vSAEYBHrw,31354588,PT28S,2025-05-03T11:36:47Z
DeIVhcIo1V4,Light refraction experiment!,https://www.youtube.com/watch?v=DeIVhcIo1V4,3472380,PT21S,2023-03-22T18:54:07Z
HZbThnZ5-Vs,The fastest way to empty a bottle! #science #shorts #experiment,https://www.youtube.com/watch?v=HZbThnZ5-Vs,48584614,PT40S,2022-05-11T15:13:13Z
sBizv_9v_rw,simple science experiment #shorts,https://www.youtube.com/watch?v=sBizv_9v_rw,13316951,PT21S,2023-07-13T10:59:17Z
B2P2Qi62dG0,Will the potato drop if I HIT the handle? LIKE THIS!? 🔪🥔👺 #physics #fyp #reels #shorts #shortsvideo,https://www.youtube.com/watch?v=B2P2Qi62dG0,27854095,PT47S,2022-10-17T19:48:21Z
mjeA6WrrxHM,Strangest Experiment Ever (Double-Slit Experiment),https://www.youtube.com/watch?v=mjeA6WrrxHM,791729,PT42S,2023-05-27T15:16:34Z
3I5QHFRmUcc,The Levitating Water Experiment.... What's the secret? #water #science #isitice,https://www.youtube.com/watch?v=3I5QHFRmUcc,2137613,PT25S,2023-08-24T16:58:43Z
wwq6sO7WIeE,Science Experiment 🔬 🧪 #shorts #viralshorts #experiment,https://www.youtube.com/watch?v=wwq6sO7WIeE,2308703,PT31S,2022-07-03T06:34:34Z
CoiLUtu4Pj0,What's the fastest way to empty a bottle ??? ...#theoryofphysics #anubhavsir #physics #airpressure,https://www.youtube.com/watch?v=CoiLUtu4Pj0,38904584,PT1M,2023-10-28T14:50:54Z
SGTqT504xRY,What is Quantum Physics⁉️ Neil deGrasse Tyson on #physics #quantum #science,https://www.youtube.com/watch?v=SGTqT504xRY,475876,PT1M,2023-05-10T21:00:14Z
DC44yf8acNY,String Theory Explained in a Minute,https://www.youtube.com/watch?v=DC44yf8acNY,7872729,PT58S,2023-09-27T20:00:03Z
