video_id,title,url,views,duration,publishedAt
_Jvftb6nxIk,Behavioural Psychology in action #psychology #behaviour,https://www.youtube.com/watch?v=_Jvftb6nxIk,1042056,PT53S,2024-11-26T18:09:49Z
ILLkLIToD7g,What Behavioral Science Reveals About the Complexities of Life,https://www.youtube.com/watch?v=ILLkLIToD7g,40682,PT59S,2025-07-18T19:00:17Z
IL3V0MtqsQA,🕵️‍♂️ Behavioral Psychology EXPLAINED,https://www.youtube.com/watch?v=IL3V0MtqsQA,162349,PT1M10S,2025-05-06T18:00:16Z
RrhbJGFpipI,"Cognitive Behavioral Therapy: A Beginner’s Guide | Ashley Mason, Ph.D.",https://www.youtube.com/watch?v=RrhbJGFpipI,77437,PT1M26S,2025-04-15T16:00:47Z
vaAMksnT5CM,Most psychopaths have these 3 characteristics,https://www.youtube.com/watch?v=vaAMksnT5CM,6876080,PT59S,2024-06-09T18:00:33Z
DIWznfl7hBE,A Psychiatrist's #1 Habit to Change Behavior | Dr. Daniel Amen,https://www.youtube.com/watch?v=DIWznfl7hBE,311294,PT20S,2022-10-19T22:00:10Z
2gT_tcx16pU,Signs You're Being Manipulated - Dr Julie #shorts,https://www.youtube.com/watch?v=2gT_tcx16pU,2468339,PT49S,2022-05-22T16:00:01Z
Yx11aZx0zWU,Human Evolution in Under 60 Seconds,https://www.youtube.com/watch?v=Yx11aZx0zWU,1730790,PT44S,2025-05-14T16:00:52Z
2FZJbQxDQCQ,Why Early Humans Were More Terrifying Than You Think,https://www.youtube.com/watch?v=2FZJbQxDQCQ,3916163,PT56S,2025-06-18T18:45:26Z
9ZzA4q1hC4c,The Evolution Of Humans,https://www.youtube.com/watch?v=9ZzA4q1hC4c,1905230,PT1M,2025-04-25T16:50:05Z
ip6KC5nMMDw,"Debunking Ancient Mysteries: Pyramids, Eiffel Tower, and Human Achievements - Neil Degrasse Tyson",https://www.youtube.com/watch?v=ip6KC5nMMDw,3640120,PT57S,2023-10-31T18:00:23Z
ql3f7omsIe4,The Greatest Tragedy in Human History - Sarah Paine,https://www.youtube.com/watch?v=ql3f7omsIe4,6131273,PT44S,2025-02-14T19:30:10Z
yoAJDYHioHU,There was NO first human,https://www.youtube.com/watch?v=yoAJDYHioHU,5620336,PT51S,2023-04-06T13:49:48Z
P5HkOjGeSvM,The Origin of the Human Species! 😱 #mindblowingfacts #viral #goodvibes #joerogan #africa #podcast,https://www.youtube.com/watch?v=P5HkOjGeSvM,199185,PT58S,2023-01-07T22:19:47Z
QDieEoKmeB4,Different species of Human till now  #shorts,https://www.youtube.com/watch?v=QDieEoKmeB4,2937297,PT27S,2021-11-01T03:50:24Z
aFmelMe02aU,Who Is The Worst Human In History?,https://www.youtube.com/watch?v=aFmelMe02aU,7825759,PT57S,2025-08-13T17:15:01Z
Kcbx_3-X0qc,The First Photo Of A Human 😦 (EXPLAINED),https://www.youtube.com/watch?v=Kcbx_3-X0qc,13671330,PT37S,2023-02-24T15:30:04Z
af8MOX8K9EY,Evolution of Humans: From 1 to 2100 👤,https://www.youtube.com/watch?v=af8MOX8K9EY,260968,PT30S,2025-08-17T10:00:06Z
fzm9PBlVlV0,6 million years of Human Evolution in 40 seconds | HD |,https://www.youtube.com/watch?v=fzm9PBlVlV0,5550843,PT48S,2021-01-20T13:29:07Z
4me1wcX8R8k,The Great Human Migration Mapped,https://www.youtube.com/watch?v=4me1wcX8R8k,54784,PT1M5S,2025-03-25T18:03:14Z
1uwf2sVGCh0,The First Human Civilization: The Sumerians,https://www.youtube.com/watch?v=1uwf2sVGCh0,1138018,PT1M,2023-06-05T21:23:08Z
vJqJ-vye0qM,Neanderthals: The Ancient Superhumans,https://www.youtube.com/watch?v=vJqJ-vye0qM,147766,PT50S,2025-01-17T16:45:07Z
