video_id,title,url,views,duration,publishedAt
lfsCrFPGgSU,The FASTEST Way to Lower STRESS.,https://www.youtube.com/watch?v=lfsCrFPGgSU,7841955,PT42S,2024-09-30T16:00:49Z
SIkz7QvzpHI,Neuroscientist: How To Stress Relief | Andrew Huberman #neuroscience #breathing #health,https://www.youtube.com/watch?v=SIkz7QvzpHI,151505,PT34S,2023-07-09T20:10:00Z
_S-Xyfp3D3k,Breathing Trick Takes Away Stress and Anxiety!  Dr. Mandell,https://www.youtube.com/watch?v=_S-Xyfp3D3k,832006,PT29S,2023-05-15T14:11:40Z
iDEwjP_anfs,This Is Why You Are Stressed,https://www.youtube.com/watch?v=iDEwjP_anfs,495517,PT1M,2024-09-05T05:58:39Z
f8BqU9wUbP0,The Science of Stress & How to Reduce It #shorts,https://www.youtube.com/watch?v=f8BqU9wUbP0,173458,PT37S,2023-01-15T13:00:32Z
-Mds98dWWL4,This is the FASTEST Way to Calm Your Nervous System...,https://www.youtube.com/watch?v=-Mds98dWWL4,626080,PT25S,2025-04-02T22:51:03Z
rKyufplAz_s,Tap Your Fingertips for Instant Stress & Anxiety Relief!  Dr. Mandell,https://www.youtube.com/watch?v=rKyufplAz_s,88191,PT44S,2024-11-04T23:01:07Z
Kc9NUyEm4lg,How to Relieve Stress,https://www.youtube.com/watch?v=Kc9NUyEm4lg,11049640,PT28S,2023-03-04T03:28:59Z
nZP088xSDeQ,Super Fast Anti-Anxiety Relief Point!  Dr. Mandell,https://www.youtube.com/watch?v=nZP088xSDeQ,5569762,PT47S,2022-11-30T15:31:00Z
vxz6xDbemTQ,How to calm anxiety quickly,https://www.youtube.com/watch?v=vxz6xDbemTQ,401995,PT21S,2024-05-31T19:00:30Z
CGGvrZ4lywI,"Overcome Stress, Tension & Anxiety",https://www.youtube.com/watch?v=CGGvrZ4lywI,1031990,PT57S,2024-05-19T12:09:54Z
XTgbQl73dos,What Is Stress?,https://www.youtube.com/watch?v=XTgbQl73dos,171455,PT1M14S,2021-01-08T13:48:57Z
KVTKZKh2fuU,"Instant Relaxation for Anxiety, Stress & Insomnia!  Dr. Mandell",https://www.youtube.com/watch?v=KVTKZKh2fuU,1003152,PT47S,2023-09-09T14:49:29Z
QPyNeGHlMao,Instant Anxiety Relief Point on Your Body | Dr. Meghana Dikshit #anxietyrelief,https://www.youtube.com/watch?v=QPyNeGHlMao,2416090,PT49S,2024-08-24T13:30:15Z
29DXrS0bBcU,Relieve Depression With This Simple Step - CBT,https://www.youtube.com/watch?v=29DXrS0bBcU,864488,PT1M,2023-03-01T12:00:01Z
uwhmKjYNHxM,HOW To DEVELOP SELF DISCIPLINE? #motivation #discipline #wisewords,https://www.youtube.com/watch?v=uwhmKjYNHxM,1701719,PT20S,2024-08-09T05:37:00Z
nLG6MHX1m2M,Self-care vs self-love ❤️ #shorts,https://www.youtube.com/watch?v=nLG6MHX1m2M,92897,PT49S,2023-06-09T11:45:03Z
